Location name,Amount spent (PYG)
Alto Paraguay Department,13449
Alto Paraná Department,2303495
Amambay Department,226582
Asunción,2167193
Boquerón department,82357
Caaguazú Department,1012880
Caazapá Department,188094
Canindeyú Department,197831
Central Department,5292188
Concepción Department (Paraguay),219312
Cordillera Department,581816
Guairá Department,203914
Itapúa Department,841323
Misiones Department,181593
Paraguarí Department,228944
Presidente Hayes Department,181636
San Pedro Department,325469
Unknown,560
Ñeembucú Department,106498
