Location name,Amount spent (MXN)
Aguascalientes,7781
Baja California,14787
Baja California Sur,2998
Campeche,15507
Chiapas,11310
Chihuahua,19420
Coahuila de Zaragoza,18168
Colima,6109
Distrito Federal,66372
Durango,5508
Guanajuato,24222
Guerrero,6418
Hidalgo,7830
Jalisco,278735
Michoacán de Ocampo,24034
Morelos,22537
Nayarit,2933
Nuevo León,35203
Oaxaca,10732
Puebla,16760
Querétaro Arteaga,8530
Quintana Roo,17375
San Luis Potosi,7382
Sinaloa,7091
Sonora,13346
State of Mexico,47213
Tabasco,7751
Tamaulipas,27417
Tlaxcala,2780
Unknown,≤100
Veracruz,17536
Yucatán,16438
Zacatecas,3140
