Location name,Amount spent (ARS)
Buenos Aires,2453226
Catamarca,69750
Chaco,298155
Chubut,79637
Ciudad Autónoma de Buenos Aires,719198
Corrientes,248399
Córdoba,2643049
Entre Rios,245132
Formosa,136655
Jujuy,44984
La Pampa,40170
La Rioja,49810
Mendoza,637069
Misiones,69291
Neuquén,58928
Río Negro,62677
Salta,84185
San Juan,54821
San Luis,450051
Santa Cruz,51492
Santa Fe,801080
Santiago del Estero,50477
Tierra del Fuego,32958
Tucuman,215177
Unknown,293
