Location name,Amount spent (CAD)
Alberta,6143
British Columbia,10220
Manitoba,2571
New Brunswick,1022
Newfoundland and Labrador,459
Northwest Territories,≤100
Nova Scotia,1114
Nunavut,≤100
Ontario,15472
Prince Edward Island,163
Quebec,9226
Saskatchewan,1811
Unknown,≤100
Yukon,≤100
