Location name,Amount spent (VND)
An Giang Province,1538
Bà Rịa–Vũng Tàu Province,39328
Bình Dương Province,68362
Bình Phước Province,4206
Bình Thuận Province,2738
Bình Định Province,91129
Bạc Liêu Province,1582
Bắc Giang Province,9801
Bắc Kạn Province,1417
Bắc Ninh Province,4564
Bến Tre Province,1485
Cao Bằng Province,778
Cà Mau Province,1549
Cần Thơ,1896
Da Nang,1468
Gia Lai Province,5367
Haiphong,10831
Ho Chi Minh City,975328
Hà Giang Province,5941
Hà Nam Province,3975
Hà Tĩnh Province,7796
Hòa Bình Province,2300
Hưng Yên Province,6296
Hải Dương Province,16173
Hậu Giang Province,550
Khánh Hòa Province,6766
Kiên Giang Province,1211
Kon Tum Province,1154
Lai Châu Province,456
Long An Province,26553
Lào Cai Province,9827
Lâm Đồng Province,10181
Lạng Sơn Province,7380
Nam Định Province,7069
Nghệ An Province,19451
Ninh Bình Province,2964
Ninh Thuận Province,577
Phú Thọ Province,5458
Phú Yên Province,1853
Quảng Bình Province,4386
Quảng Nam Province,1878
Quảng Ngãi Province,3630
Quảng Ninh Province,4072
Quảng Trị Province,1650
Sóc Trăng Province,2417
Sơn La Province,3589
Thanh Hóa Province,29531
Thái Bình Province,49116
Thái Nguyên Province,4764
Thừa Thiên–Huế Province,1629
Tiền Giang Province,8693
Trà Vinh Province,1386
Tuyên Quang Province,4748
Tây Ninh Province,23075
Unknown,763
Vĩnh Long Province,3271
Vĩnh Phúc Province,8601
Yên Bái Province,9225
Điện Biên Province,963
Đắk Lắk Province,7211
Đắk Nông Province,2155
Đồng Nai Province,102012
Đồng Tháp Province,3130
