Location name,Amount spent (JPY)
Aichi Prefecture,14495
Akita Prefecture,1992
Aomori Prefecture,1719
Chiba Prefecture,17934
Ehime Prefecture,2652
Fukui Prefecture,1933
Fukuoka Prefecture,31948
Fukushima Prefecture,3190
Gifu Prefecture,9412
Gunma Prefecture,3358
Hiroshima Prefecture,5256
Hokkaido,9978
Hyōgo Prefecture,16017
Ibaraki Prefecture,5347
Ishikawa Prefecture,3193
Iwate Prefecture,2070
Kagawa Prefecture,2477
Kagoshima Prefecture,2719
Kanagawa Prefecture,32053
Kumamoto Prefecture,4111
Kyoto Prefecture,8775
Kōchi Prefecture,1163
Mie Prefecture,3077
Miyagi Prefecture,11631
Miyazaki Prefecture,2141
Nagano Prefecture,4795
Nagasaki Prefecture,5329
Nara Prefecture,2990
Niigata Prefecture,3843
Okayama Prefecture,5203
Okinawa Prefecture,6780
Osaka Prefecture,25530
Saga Prefecture,3058
Saitama Prefecture,15690
Shiga Prefecture,3173
Shimane Prefecture,2344
Shizuoka Prefecture,9112
Tochigi Prefecture,3240
Tokushima Prefecture,1755
Tokyo,80060
Tottori Prefecture,743
Toyama Prefecture,1518
Unknown,≤100
Wakayama Prefecture,1724
Yamagata Prefecture,2167
Yamaguchi Prefecture,3258
Yamanashi Prefecture,1925
Ōita Prefecture,2977
