Location name,Amount spent (INR)
Andaman and Nicobar Islands,822
Andhra Pradesh,69381
Arunachal Pradesh,3167
Assam,17500
Bihar,35785
Chandigarh,3489
Chhattisgarh,37197
Dadra and Nagar Haveli,872
Delhi,40610
Goa,3686
Gujarat,55936
Haryana,29324
Himachal Pradesh,13214
Jammu and Kashmir,10553
Jharkhand,16450
Karnataka,448489
Kerala,12887
Lakshadweep,≤100
Madhya Pradesh,60441
Maharashtra,152656
Manipur,3078
Meghalaya,4212
Mizoram,533
Nagaland,1898
Odisha,15872
Puducherry,1769
Punjab region,39416
Rajasthan,137168
Sikkim,1123
Tamil Nadu,49765
Telangana,39834
Tripura,1808
Unknown,≤100
Uttar Pradesh,142215
Uttarakhand,12846
West Bengal,40950
