Location name,Amount spent (IDR)
Aceh,2910510
Bali,3017608
Bangka–Belitung Islands,363037
Banten,3073983
Bengkulu,540831
Central Java,18095737
Central Kalimantan,604104
Central Sulawesi,2004569
East Java,16874917
East Kalimantan,2572141
East Nusa Tenggara,4050412
Gorontalo,1533443
Jakarta,21780512
Jambi,1894423
Lampung,3637214
Maluku,1707753
North Kalimantan,487085
North Maluku,379351
North Sulawesi,2528919
North Sumatra,5858175
Papua (province),594059
Riau,1757145
Riau Islands Province,878145
South Kalimantan,2035090
South Sulawesi,6461187
South Sumatra,3812707
Southeast Sulawesi,1889945
Special Region of Yogyakarta,4167072
Unknown,13646
West Java,16570127
West Kalimantan,2528791
West Nusa Tenggara,3347688
West Papua,326994
West Sulawesi,378341
West Sumatra,2253337
