Location name,Amount spent (EUR)
Alsace,411
Aquitaine,818
Auvergne,266
Basse-Normandie,297
Bourgogne,309
Bretagne,738
Centre,524
Champagne-Ardenne,285
Corse,101
Franche-Comté,209
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,389
Languedoc-Roussillon,761
Limousin,153
Lorraine,635
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,607
New Caledonia,≤100
Nord-Pas-de-Calais,822
Pays de la Loire,725
Picardie,424
Poitou-Charentes,392
Provence-Alpes-Côte d'Azur,1699
Reunion Island,≤100
Rhône-Alpes,1565
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3687
