Location name,Amount spent (DKK)
Capital Region of Denmark,52241
Central Denmark Region,36878
Faroe Islands,438
Greenland,≤100
North Denmark Region,14059
Region of Southern Denmark,30203
Unknown,≤100
Zealand Region,19742
