Location name,Amount spent (MXN)
Aguascalientes,13365
Baja California,45407
Baja California Sur,8210
Campeche,20115
Chiapas,50119
Chihuahua,42474
Coahuila de Zaragoza,31932
Colima,9251
Distrito Federal,185295
Durango,12375
Guanajuato,66673
Guerrero,26811
Hidalgo,24371
Jalisco,146631
Michoacán de Ocampo,57119
Morelos,33332
Nayarit,8623
Nuevo León,136040
Oaxaca,40065
Puebla,83860
Querétaro Arteaga,30230
Quintana Roo,50835
San Luis Potosi,31384
Sinaloa,25306
Sonora,29824
State of Mexico,128463
Tabasco,21494
Tamaulipas,52719
Tlaxcala,10107
Unknown,≤100
Veracruz,64440
Yucatán,50468
Zacatecas,13133
