Location name,Amount spent (NOK)
Akershus,7484
Aust-Agder,696
Buskerud,2078
Finnmark,599
Hedmark,1360
Hordaland,4878
Møre og Romsdal,1767
Nord-Trøndelag,1542
Nordland,1632
Oppland,1574
Oslo,9443
Rogaland,3139
Sogn og Fjordane,751
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5562
Telemark,1195
Troms,1948
Unknown,≤100
Vest-Agder,1855
Vestfold,1425
Østfold,4291
