Location name,Amount spent (SEK)
Blekinge County,3085
Dalarna County,6097
Gotland County,1675
Gävleborg County,6042
Halland County,7050
Jämtland County,2804
Jönköping County,7551
Kalmar County,5046
Kronoberg County,3629
Norrbotten County,4972
Skåne County,27226
Stockholm County,53164
Södermanland County,6236
Unknown,≤100
Uppsala County,8325
Värmland County,5894
Västerbotten County,5192
Västernorrland County,4884
Västmanland County,5425
Västra Götaland County,38647
Örebro County,6436
Östergötland County,9210
