Location name,Amount spent (HUF)
Baranya County,215761
Borsod-Abaúj-Zemplén County,330071
Budapest,1212181
Bács-Kiskun County,279422
Békés County,176439
Csongrád County,237311
Fejér County,238734
Győr-Moson-Sopron County,276957
Hajdú-Bihar County,294269
Heves County,167166
Jász-Nagykun-Szolnok County,180811
Komárom-Esztergom County,165305
Nógrád County,96265
Pest County,666950
Somogy County,156164
Szabolcs-Szatmár-Bereg County,263813
Tolna County,131399
Unknown,266
Vas County,136845
Veszprém County,183626
Zala County,149682
