Location name,Amount spent (JPY)
Aichi Prefecture,41574
Akita Prefecture,877
Aomori Prefecture,1315
Chiba Prefecture,14880
Ehime Prefecture,1495
Fukui Prefecture,1001
Fukuoka Prefecture,37632
Fukushima Prefecture,1964
Gifu Prefecture,5092
Gunma Prefecture,2270
Hiroshima Prefecture,6466
Hokkaido,6994
Hyōgo Prefecture,9896
Ibaraki Prefecture,3596
Ishikawa Prefecture,1632
Iwate Prefecture,1220
Kagawa Prefecture,1506
Kagoshima Prefecture,3174
Kanagawa Prefecture,21360
Kumamoto Prefecture,2975
Kyoto Prefecture,9795
Kōchi Prefecture,757
Mie Prefecture,2408
Miyagi Prefecture,9683
Miyazaki Prefecture,1863
Nagano Prefecture,3499
Nagasaki Prefecture,2887
Nara Prefecture,2123
Niigata Prefecture,2247
Okayama Prefecture,3666
Okinawa Prefecture,5429
Osaka Prefecture,68560
Saga Prefecture,2059
Saitama Prefecture,16149
Shiga Prefecture,2022
Shimane Prefecture,1770
Shizuoka Prefecture,5299
Tochigi Prefecture,2221
Tokushima Prefecture,1017
Tokyo,51134
Tottori Prefecture,732
Toyama Prefecture,1377
Unknown,≤100
Wakayama Prefecture,1202
Yamagata Prefecture,2326
Yamaguchi Prefecture,2029
Yamanashi Prefecture,1094
Ōita Prefecture,2185
