Location name,Amount spent (HUF)
Baranya County,154581
Borsod-Abaúj-Zemplén County,211278
Budapest,779919
Bács-Kiskun County,182457
Békés County,129395
Csongrád County,170947
Fejér County,173454
Győr-Moson-Sopron County,233692
Hajdú-Bihar County,176958
Heves County,127699
Jász-Nagykun-Szolnok County,138197
Komárom-Esztergom County,116630
Nógrád County,72502
Pest County,377582
Somogy County,111254
Szabolcs-Szatmár-Bereg County,176716
Tolna County,89605
Unknown,138
Vas County,102093
Veszprém County,132475
Zala County,114706
