Location name,Amount spent (PLN)
Greater Poland Voivodeship,5184
Kuyavian-Pomeranian Voivodeship,2559
Lesser Poland Voivodeship,4030
Lower Silesian Voivodeship,3574
Lublin Voivodeship,2112
Lubusz Voivodeship,1125
Masovian Voivodeship,7723
Opole Voivodeship,951
Podkarpackie Voivodeship,1838
Podlaskie Voivodeship,1075
Pomeranian Voivodeship,3191
Silesian Voivodeship,4424
Unknown,≤100
Warmian-Masurian Voivodeship,1326
West Pomeranian Voivodeship,2132
Łódź Voivodeship,2712
Świętokrzyskie Voivodeship,1070
