Location name,Amount spent (CLP)
Antofagasta Region,84142
Araucanía Region,111736
Arica y Parinacota Region,24411
Atacama Region,35475
Aysén Region,20087
Bío Bío Region,248309
Coquimbo Region,218544
Los Lagos Region,84177
Los Ríos Region,41747
Magallanes y la Antártica Chilena Region,21819
Maule Region,102058
O'Higgins Region,101758
Santiago Metropolitan Region,1029440
Tarapacá Region,36926
Unknown,≤100
Valparaíso Region,221505
