Location name,Amount spent (HUF)
Baranya County,85508
Borsod-Abaúj-Zemplén County,130064
Budapest,478849
Bács-Kiskun County,113237
Békés County,84063
Csongrád County,105624
Fejér County,109445
Győr-Moson-Sopron County,117643
Hajdú-Bihar County,227832
Heves County,71357
Jász-Nagykun-Szolnok County,80769
Komárom-Esztergom County,73041
Nógrád County,43409
Pest County,232972
Somogy County,67674
Szabolcs-Szatmár-Bereg County,127059
Tolna County,56449
Unknown,116
Vas County,57634
Veszprém County,78208
Zala County,67240
