Location name,Amount spent (PLN)
Greater Poland Voivodeship,3228
Kuyavian-Pomeranian Voivodeship,2006
Lesser Poland Voivodeship,3791
Lower Silesian Voivodeship,3861
Lublin Voivodeship,1644
Lubusz Voivodeship,857
Masovian Voivodeship,7617
Opole Voivodeship,702
Podkarpackie Voivodeship,1082
Podlaskie Voivodeship,1227
Pomeranian Voivodeship,2697
Silesian Voivodeship,3690
Unknown,≤100
Warmian-Masurian Voivodeship,924
West Pomeranian Voivodeship,1471
Łódź Voivodeship,2266
Świętokrzyskie Voivodeship,824
