Location name,Amount spent (UYU)
Artigas Department,416
Canelones Department,1752
Cerro Largo Department,549
Colonia Department,781
Durazno Department,335
Flores Department,194
Florida Department,354
Lavalleja Department,314
Maldonado Department,1037
Montevideo Department,6841
Paysandú Department,2825
Rivera Department,830
Rocha Department,373
Río Negro Department,343
Salto Department,829
San José Department,390
Soriano Department,358
Tacuarembó Department,508
Treinta y Tres Department,340
Unknown,≤100
