Location name,Amount spent (CZK)
Central Bohemian Region,7047
Hradec Králové Region,2331
Karlovy Vary Region,1485
Liberec Region,1981
Moravian-Silesian Region,6297
Olomouc Region,3094
Pardubice Region,2213
Plzeň Region,3573
Prague,15624
South Bohemian Region,3156
South Moravian Region,7199
Unknown,≤100
Vysočina Region,2340
Zlín Region,3019
Ústí nad Labem Region,4951
