Location name,Amount spent (VEF)
Amazonas,112500
Anzoátegui,3752418
Apure,628105
Aragua,4256649
Barinas,1600222
Bolívar (state),3507253
Capital District,17011485
Carabobo,6676875
Cojedes,501511
Delta Amacuro,500302
Falcón,1937337
Guárico,1253324
Lara,4006347
Miranda (state),3900444
Monagas,1752720
Mérida,3119118
Nueva Esparta,1612419
Portuguesa,1551513
Sucre,1000000
Trujillo,1153106
Táchira,3503929
Unknown,≤100
Vargas,1299617
Yaracuy,1904617
Zulia,11297147
