Location name,Amount spent (JPY)
Aichi Prefecture,29381
Akita Prefecture,2405
Aomori Prefecture,2868
Chiba Prefecture,26869
Ehime Prefecture,3406
Fukui Prefecture,2132
Fukuoka Prefecture,52379
Fukushima Prefecture,5891
Gifu Prefecture,6408
Gunma Prefecture,5198
Hiroshima Prefecture,12600
Hokkaido,18163
Hyōgo Prefecture,21316
Ibaraki Prefecture,8917
Ishikawa Prefecture,4032
Iwate Prefecture,3112
Kagawa Prefecture,3639
Kagoshima Prefecture,3544
Kanagawa Prefecture,53059
Kumamoto Prefecture,7817
Kyoto Prefecture,13282
Kōchi Prefecture,2477
Mie Prefecture,6065
Miyagi Prefecture,11195
Miyazaki Prefecture,3197
Nagano Prefecture,7104
Nagasaki Prefecture,6913
Nara Prefecture,4585
Niigata Prefecture,7071
Okayama Prefecture,6663
Okinawa Prefecture,4845
Osaka Prefecture,46918
Saga Prefecture,3338
Saitama Prefecture,22766
Shiga Prefecture,5851
Shimane Prefecture,2154
Shizuoka Prefecture,12390
Tochigi Prefecture,8729
Tokushima Prefecture,2079
Tokyo,93704
Tottori Prefecture,2365
Toyama Prefecture,3367
Unknown,≤100
Wakayama Prefecture,2896
Yamagata Prefecture,3104
Yamaguchi Prefecture,3772
Yamanashi Prefecture,4325
Ōita Prefecture,4043
