Location name,Amount spent (MXN)
Aguascalientes,7731
Baja California,16092
Baja California Sur,4307
Campeche,19984
Chiapas,11453
Chihuahua,14277
Coahuila de Zaragoza,42036
Colima,4994
Distrito Federal,144915
Durango,6774
Guanajuato,54301
Guerrero,7211
Hidalgo,13631
Jalisco,74063
Michoacán de Ocampo,15267
Morelos,20326
Nayarit,4341
Nuevo León,109671
Oaxaca,9136
Puebla,22759
Querétaro Arteaga,21943
Quintana Roo,23857
San Luis Potosi,16920
Sinaloa,11941
Sonora,15622
State of Mexico,92348
Tabasco,11958
Tamaulipas,18776
Tlaxcala,3357
Unknown,≤100
Veracruz,21103
Yucatán,24361
Zacatecas,4508
