Location name,Amount spent (COP)
Amazonas,1130
Antioquia,7119217
Arauca,124141
Atlantico,636532
Bolivar,217184
Boyaca,444687
Caldas,456044
Caqueta,106682
Casanare,88586
Cauca,306127
Cesar,76162
Choco,14386
Cordoba,457738
Cundinamarca,501063
Distrito Especial,3633232
Guainia,1007
Guaviare,11726
Huila,233464
La Guajira,49718
Magdalena,332847
Meta,548201
Narino,66232
Norte de Santander,556884
Putumayo,334333
Quindio,196518
Risaralda,600796
San Andres y Providencia,5354
Santander,1415472
Sucre,450481
Tolima,199309
Unknown,609
Valle del Cauca,3988373
Vaupes,358
Vichada,530
