Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
102414628645144,Korondy Tamás,Megafon,496925,6
224274995688487,Bohár Dániel - Riporter,Megafon,481957,4
503614639975773,Trombitás Kristóf,Megafon,269471,2
128596180810227,Stefi Déri,Megafon,248153,2
543788999005363,ORIGO,Mediaworks Hungary Zrt.,228985,25
109217671008015,A kopasz oszt,Megafon,206728,2
278117815576023,EU Justice and Consumers,EU Justice and Consumers,167299,12
248172631940,Mandiner,Mediaworks Hungary Zrt.,113886,17
191461774219575,hirado.hu,hirado.hu,107836,32
109528965046103,MCC Feszt,Mathias Corvinus Collegium,105432,24
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,88234,11
110149601578231,GeriJoca,Megafon,87019,2
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,83723,11
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,80071,10
178362315106,European Parliament,European Parliament,66825,15
118152054556475,Deák Dániel,Megafon,59821,2
109414841321682,Magyar Falu Program,Miniszterelnökség,57018,8
264517713636590,PestiSracok.hu,PestiSrácok.hu,43755,9
537817739693723,Brain Bar,Brain Bar,42222,7
451844608304228,Metropol,Metropol,40775,4
408924035951553,Körforrás,Körforrás,36800,6
103465727825414,OPUS Energetika,OPUS Tigáz & OPUS Titász,30694,6
1534911313439123,Ripost,Ripost,30506,3
131283758531,HVG,HVG Kiadó ZRt.,30451,26
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,26137,6
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,25680,4
1265353903615539,Oeconomus,Oeconomus,18744,19
592204747588011,Momentum Mozgalom,Momentum Mozgalom,18320,2
265672590604606,Makronóm.Blog,Makronóm.Blog,17054,17
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,16576,5
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,15400,4
490030231058740,444,Magyar Jeti Zrt - 444.hu,15206,9
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,14993,33
100299381703981,Ps TV,PestiSrácok.hu,14584,2
123910440019,Renew Europe,Renew Europe Group,14334,2
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,12909,7
162344823835042,atlatszo.hu,atlatszo.hu,11335,7
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,11126,4
851784814892644,Simicskó István,KDNP frakció,10955,5
447204268797621,RTL.hu,RTL.HU,10738,42
2552532618151148,Újpesti Hírek,Újpesti Hírek,10732,2
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,10703,3
114230203654958,21 Kutatóközpont,21 Kutatóközpont,10528,45
76748198685,Budapest Pride,Budapest Pride,10214,5
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,10062,4
108248022589754,Bosch Magyarország,Bosch Magyarország,10030,10
304448239602944,Minden Doboz Visszajár,Minden Doboz Visszajár,9428,7
887921287887805,Király Nóra,Király Nóra,8971,4
594088897289853,Alapjogokért Központ,Alapjogokért Központ,8948,8
1926735160968885,Válasz Online,Válasz Online,8880,5
