Location name,Amount spent (IDR)
Aceh,1841323
Bali,2941146
Bangka–Belitung Islands,377509
Banten,2518949
Bengkulu,582577
Central Java,10447286
Central Kalimantan,626892
Central Sulawesi,1436600
East Java,8809516
East Kalimantan,2208855
East Nusa Tenggara,3132532
Gorontalo,462319
Jakarta,9101881
Jambi,1019320
Lampung,2570601
Maluku,704721
North Kalimantan,311454
North Maluku,384023
North Sulawesi,2537046
North Sumatra,5199283
Papua (province),1345285
Riau,2540079
Riau Islands Province,857819
South Kalimantan,612479
South Sulawesi,3301305
South Sumatra,2412586
Southeast Sulawesi,1463547
Special Region of Yogyakarta,2657231
Unknown,3564
West Java,11648144
West Kalimantan,2530160
West Nusa Tenggara,2067596
West Papua,359090
West Sulawesi,404309
West Sumatra,2123889
