Location name,Amount spent (DKK)
Capital Region of Denmark,62805
Central Denmark Region,41853
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,16333
Region of Southern Denmark,33321
Unknown,≤100
Zealand Region,23382
