Location name,Amount spent (NIO)
Boaco Department,≤100
Carazo Department,≤100
Estelí Department,≤100
Granada Department,≤100
Jinotega Department,≤100
Managua Department,≤100
Masaya Department,≤100
Matagalpa Department,≤100
Nueva Segovia Department,≤100
Rivas Department,≤100
