Location name,Amount spent (LBP)
Beirut Governorate,2395342
Beqaa Governorate,827675
Mount Lebanon Governorate,1568879
Nabatieh Governorate,387449
North Governorate,1238668
South Governorate,553212
Unknown,≤100
