Location name,Amount spent (AUD)
Australian Capital Territory,1081
Jervis Bay Territory,≤100
New South Wales,14055
Northern Territory,423
Queensland,15373
South Australia,4043
Tasmania,2166
Unknown,≤100
Victoria,13864
Western Australia,7848
