Location name,Amount spent (AUD)
Australian Capital Territory,1444
Jervis Bay Territory,≤100
New South Wales,16021
Northern Territory,499
Queensland,10490
South Australia,3913
Tasmania,1165
Unknown,≤100
Victoria,12177
Western Australia,5007
