Location name,Amount spent (EUR)
Burgenland,251
Carinthia,656
Lower Austria,6109
Salzburg,528
Styria,1106
Tyrol,482
Unknown,≤100
Upper Austria,1160
Vienna,2008
Vorarlberg,320
