Location name,Amount spent (JPY)
Aichi Prefecture,47751
Akita Prefecture,986
Aomori Prefecture,1459
Chiba Prefecture,16165
Ehime Prefecture,1877
Fukui Prefecture,2482
Fukuoka Prefecture,32832
Fukushima Prefecture,2885
Gifu Prefecture,4782
Gunma Prefecture,4264
Hiroshima Prefecture,4311
Hokkaido,8546
Hyōgo Prefecture,15595
Ibaraki Prefecture,6086
Ishikawa Prefecture,3407
Iwate Prefecture,1455
Kagawa Prefecture,1659
Kagoshima Prefecture,3540
Kanagawa Prefecture,30886
Kumamoto Prefecture,3154
Kyoto Prefecture,10232
Kōchi Prefecture,761
Mie Prefecture,4691
Miyagi Prefecture,10635
Miyazaki Prefecture,2056
Nagano Prefecture,3116
Nagasaki Prefecture,6994
Nara Prefecture,3379
Niigata Prefecture,4421
Okayama Prefecture,3725
Okinawa Prefecture,5192
Osaka Prefecture,76552
Saga Prefecture,3059
Saitama Prefecture,16619
Shiga Prefecture,4167
Shimane Prefecture,1162
Shizuoka Prefecture,8959
Tochigi Prefecture,4032
Tokushima Prefecture,1167
Tokyo,58453
Tottori Prefecture,671
Toyama Prefecture,2736
Unknown,≤100
Wakayama Prefecture,2169
Yamagata Prefecture,1461
Yamaguchi Prefecture,2254
Yamanashi Prefecture,1032
Ōita Prefecture,2973
