Location name,Amount spent (PLN)
Greater Poland Voivodeship,4930
Kuyavian-Pomeranian Voivodeship,2728
Lesser Poland Voivodeship,4166
Lower Silesian Voivodeship,3816
Lublin Voivodeship,2167
Lubusz Voivodeship,1761
Masovian Voivodeship,9847
Opole Voivodeship,1054
Podkarpackie Voivodeship,2078
Podlaskie Voivodeship,1144
Pomeranian Voivodeship,3548
Silesian Voivodeship,5154
Unknown,≤100
Warmian-Masurian Voivodeship,1591
West Pomeranian Voivodeship,2300
Łódź Voivodeship,3166
Świętokrzyskie Voivodeship,1186
