Location name,Amount spent (USD)
Azuay Province,863
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,120
Chimborazo Province,143
Cotopaxi Province,172
El Oro Province,668
Esmeraldas Province,228
Galápagos Province,≤100
Guayas Province,1960
Imbabura Province,177
Loja Province,108
Los Ríos Province,955
Manabí Province,1047
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,125
Pastaza Province,≤100
Pichincha Province,1079
Santa Elena Province,108
Santo Domingo de los Tsáchilas Province,870
Sucumbíos Province,107
Tungurahua Province,185
Unknown,≤100
Zamora-Chinchipe Province,≤100
