Location name,Amount spent (THB)
Amnat Charoen,119
Ang Thong,≤100
Ayutthaya,1233
Bangkok,36489
Bueng Kan,≤100
Buriram,282
Chachoengsao,2477
Chai Nat,130
Chaiyaphum,173
Chanthaburi,148
Chiang Mai,2940
Chiang Rai,401
Chon Buri,17322
Chumphon,310
Kalasin,243
Kamphaeng Phet,1141
Kanchanaburi,610
Khon Kaen,465
Krabi,286
Lampang,287
Lamphun,256
Loei,143
Lop Buri,133
Mae Hong Son,178
Maha Sarakham,212
Mukdahan,110
Nakhon Nayok,≤100
Nakhon Pathom,3043
Nakhon Phanom,621
Nakhon Ratchasima,668
Nakhon Sawan,235
Nakhon Si Thammarat,1682
Nan,131
Narathiwat,167
Nong Bua Lam Phu,124
Nong Khai,115
Nonthaburi,1439
Pathum Thani,1475
Pattani,281
Phangnga,198
Phatthalung,326
Phayao,580
Phetchabun,168
Phetchaburi,331
Phichit,224
Phitsanulok,2089
Phrae,≤100
Phuket,2057
Prachin Buri,214
Prachuap Khiri Khan,185
Ranong,≤100
Ratchaburi,1013
Rayong,891
Roi Et,261
Sa Kaeo,213
Sakon Nakhon,378
Samut Prakan,2705
Samut Sakhon,874
Samut Songkhram,627
Saraburi,206
Satun,156
Sing Buri,≤100
Sisaket,294
Songkhla,3298
Sukhothai,342
Suphan Buri,328
Surat Thani,13766
Surin,261
Tak,135
Trang,346
Trat,≤100
Ubon Ratchathani,434
Udon Thani,425
Unknown,≤100
Uthai Thani,≤100
Uttaradit,118
Yala Province,176
Yasothon,167
