Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
424429107582290,BJP Gujarat,BJP Gujarat,1180645,206
206756829376811,BJP Delhi,BJP Delhi,1015729,154
103432662353884,Chuntli Express - ચૂંટલી એક્સપ્રેસ,ChuntliExpress.com,395511,270
263042377039487,Indian National Congress -  Gujarat,INC,243678,42
101423475985650,A Babuchak - એ બબુચક,A Babuchak,237506,103
103704155350118,Gates Foundation India,The Bill & Melinda Gates Foundation,198594,6
54779960819,United Nations,United Nations with Facebook Ad Credits,151000,11
108859771892572,Ek dhoko Kejriwalne - એક ધોકો કેજરીવાલને,Paltu Express,146723,72
187668288312583,Otrivin,Haleon India,102154,18
2078242259060363,Kukufm,These ads ran without a disclaimer,68705,1
294493857651676,Rahul Gandhi,Indian National Congress,65367,26
158714780827513,UNFPA,UNFPA,60264,4
110116401723193,Narendra Bhupendra - નરેન્દ્ર ભૂપેન્દ્ર,gujarat2022.com,59953,187
546570505741651,Janata Dal United - Delhi,Summit PolCom,47836,20
105671775473178,Jan Suraaj,Jan Suraaj,38984,46
107395897271506,Kutumb,Swatantra Verma,35051,50
100900109027623,જય સરદાર - Jay Sardar,Jay Sardar,29368,20
677570115978570,Paltu Aadmi Party,paltuaadmiparty.com,29199,24
138927162813391,Dailyhunt,Verse Innovation Pvt. Ltd.,28065,29
168694379812269,Astroyogi,These ads ran without a disclaimer,25825,1
110401617341907,Balvant Gadhavi,Digital branding Agency,25382,33
2078242259060363,Kukufm,Mohana Saha,23957,88
363744297012755,Shankar Chaudhary,Priteshkumar I Patel,22402,6
108896145203983,AAP na Paap,AAP NA PAAP,20598,14
240782166394470,Ami Ravat- Indian National Congress,Dushyant Rajpurohit,20524,34
103361142488384,Babasaheb Bhimrao Ambedkar - બાબાસાહેબ ભીમરાવ આંબેડકર,Gujju Buzz,18260,20
117309357625116,એક મોકો આપને - Ek Moko AAP Ne,KRU TECH PVT LTD,17527,6
30290552843,Greenpeace India,Greenpeace India Society,17389,93
1518151831788823,Master Satyapal Singh,Achal Sharma,14457,15
104314355053373,TheSootr,TheSootr,13996,30
110388731326536,Sanju Jain AAP,AK TRADERS,12957,126
109888271582555,Be The Change For TB,Johnson & Johnson India Private Limited,11066,9
637253276424588,Chimanbhai Sapariya,Parthiv Solanki,11059,23
102271685994623,અમારા ઈન્દ્રનીલ ભાઈ - Amara Indranil Bhai,Politicode,10920,12
428157337550611,ICMM,These ads ran without a disclaimer,10815,1
870933353060180,Lalchand Moond,Lal Chand Mund,10750,11
104211439033799,Jagane Kavali,Jagane Kavali,10339,33
369780283211302,Dr. Sudhakar K,Dr. K Sudhakar,10226,1
21169267101,Give,Give,10094,10
103704155350118,Gates Foundation India,These ads ran without a disclaimer,10057,2
104516512296314,Kartik Sharma,Adv Tech,10051,7
441249902634004,Baba Siddique,Baba Siddique,9460,26
875420125855408,Dhanraj Vispute,Siddigital,8887,3
105196549064177,Porbandar News,Shivam Thanki,8763,9
109354741887336,Udhay Anna - உதய் அண்ணா,Politicode,8489,30
228902834668297,Narendra Bahubali,Ashish Srivastava,8362,6
442744789836480,Monika Miglani,Monika Miglani,8221,12
132480390432415,Jindal Stainless Solutions,Chariot Media,7897,1
101726242702714,ये नया बिहार है,Summit Polcom,7868,3
1384169104959232,Sardarbhai Chaudhari - BJP,Sardarbhai S Chaudhary,7695,10
1548923041893741,Virender Singh Rathore,INC,7673,9
170844986298918,Mint,These ads ran without a disclaimer,7599,11
102377305543409,AITC Meghalaya,Indian Political Action Committee,7506,22
110239450703931,Krishan Jakhar,Krishan Jakhar,7030,2
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,6863,24
720442908158091,Kamlesh Patel,Kamleshkumar Patel,6626,12
102077162237505,Dalchand Dali,Acwits Solutions LLP,6417,55
1757441471197224,Hardik Patel,Chauhan Singh Jaideep,6245,9
1203697573031051,RK Imo Singh,Rajkumar Imo Singh,6078,1
347337386104390,Rama Chandra Yadav,B Ramachandra,6017,1
164632264045329,Vishal Kumar,Novanative Plastix Solutions Pvt Ltd,6003,54
825750821099943,Sunder Tanwar,Prashant Kumar Ojha,5932,6
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,5851,28
109707661884154,Indian Compass,theindiancompass.com,5765,70
270666596375251,Jhatkaa.org,Jhatkaa.org,5749,4
1546154622140217,Raghubhai Desai,Hareshkumar Savjibhai Patel,5672,13
130257431040130,Harshad Ribadiya,Parthiv Solanki,5530,25
106353715613486,श्री वल्लभ विहार,Aashish Patel,5440,22
106239365651585,અલ્પેશ સૌના છે,Nikhil Aggarwal,5341,10
230195174008918,Ajit Damodar Gavhane,Ajit Damodar Gavhane,5206,2
178705962537053,OurDemocracy India,OurDemocracy India,5199,6
109986065209042,Mera Apna Rahul,Mera Apna Rahul,5158,40
109643395181626,Vashrambhai Sagthiya,Sagathiya Vashrambhai Alabhai,4965,4
107113000831690,Dr.Manik Saha,maniksaha.com,4938,1
20386543316,WWF-India,Mukesh Nauhwar,4919,1
437129436626699,Capt Shalini Singh,Dheeraj Kalra,4670,27
103782051383159,School of Politics,School of Politics,4396,31
103835082559601,Dr. Mahendra Padalia,Agrawal Bhavesh,4385,14
1422722534642965,B Suresh Gowda,Bettaiah Suresh Gowda,4356,1
1433075113609108,Rakhee Rathore,Mukesh Kumar Yadav,4339,6
1691244377838256,Nathabhai Patel,Mukeshbhai Sujabhai Chaudhary,4331,13
103422065795457,Virendrasinh Vaghela - Ajitsinh Vasan,Navnit,4271,7
278423842321236,BJP Rajasthan,BJP Rajasthan,4245,19
102878332658199,Rajbala Lakra,Mohd Waquas,4237,7
103511879253550,Seema Ajay Annjal,Riyaz Ahmad,4173,18
1569852659799372,Nishant Anand,Nishant Anand,4164,20
178109602592348,Anil Kumar Sharma,Webtix,4158,73
107069552104307,Bandi Sanjay - Future of Telangana,Prafful Gyanchandani,4122,2
1501213060094137,Arjan Bhudia,Bharat Kunvarji Halai,4109,11
101378635840924,Ajay Ravi Hans,Ajay Hans,4105,8
1655622058029790,Dharmik Malaviya - Social Activist,Bhalala Jenish Chandubhai,4104,10
108954265044529,Amit Nagpal,Chander Parkash,4104,14
100626912687369,ಕೈ ಏರಿಸಿ ಕರುನಾಡಿಗಾಗಿ,Kai Yerisi  Karunadigagi,4096,32
730549017154063,Mahesh Patel-Congress,Maheshkumar Amrutlal Patel,4095,10
700079793418618,J S Patel Fan Club,Ankitkumar Dineshbhai Patel,4092,10
101704818889664,News Aap Tak,Tarundeb,4071,1
108582761945542,Dharambir Sharma BJP ward 51,Anything Infotech,4066,41
886967274668549,Dr. Nandini Sharma,Kuldeep,4055,28
100809341881822,Manish Brahmbhatt,Janmat trust,4013,6
104375555841957,BJP-Varachha 161,Abhishek A Karan,4009,7
159111004444064,NACO India,Naco India,4004,14
110740294873531,Gagan Kasana,Chetan Joshi,3939,19
369248413429725,YS Sharmila Reddy,Cloud & Loud Communications Pvt Ltd,3842,6
1432888686952599,Manibhai Vaghela,Jayeshkumar Manibhai Vaghela,3805,7
110171771361554,Suman Naresh Gupta,We Make Brands,3783,37
1427338450838340,Thopudurthi Prakash Reddy,Settipalli Ravindra Reddy,3754,2
123250322409192,Lalit Bhambhry BJP,Manish Kumar Jha,3690,4
102099855874205,40% ಸರ್ಕಾರ,40percentsarkara,3679,34
252449654921483,Kishor Kanani -Kumar,Krunal Borad,3671,2
103244395945301,Naveen Garg,Tarundeb,3563,11
108134157370493,Tarun Raj Page,Pravesh Kumar Rajput,3538,36
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,3537,33
184278081698180,Ashok Gehlot,Ashok Gehlot,3521,1
878507758895759,Narendra Kumar,Aatmnirbhar Sena,3518,2
779924902121386,Vinod Sonkar,Yash Bagh,3501,39
104826944662862,Amrit Jain AAP,Kanav Kathuria,3488,77
112318165031752,Jai Parkash Rana,Riyaz Ahmad,3446,16
108614302069472,Krunal Borad,Krunal Borad,3427,1
108382784812825,Voice Of Porbandar,Thanki Paresh Mansukh,3411,33
390976557590103,I Support Narendra Modi,Adv Tech,3387,7
