Location name,Amount spent (RON)
Alba County,597
Arad County,704
Argeș County,848
Bacău County,643
Bihor County,474
Bistrița-Năsăud County,400
Botoșani County,590
Brașov County,597
Brăila County,267
Bucharest,2238
Buzău County,353
Caraș-Severin County,358
Cluj County,789
Constanța County,604
Covasna County,181
Călărași County,184
Dolj County,536
Dâmbovița County,419
Galați County,711
Giurgiu County,160
Gorj County,301
Harghita County,377
Hunedoara County,504
Ialomița County,166
Iași County,1654
Ilfov County,297
Maramureș County,498
Mehedinți County,197
Mureș County,637
Neamț County,994
Olt County,249
Prahova County,783
Satu Mare County,274
Sibiu County,329
Suceava County,569
Sălaj County,233
Teleorman County,237
Timiș County,731
Tulcea County,193
Unknown,≤100
Vaslui County,400
Vrancea County,544
Vâlcea County,289
