Location name,Amount spent (SEK)
Blekinge County,3831
Dalarna County,7929
Gotland County,1794
Gävleborg County,8600
Halland County,8051
Jämtland County,4116
Jönköping County,9911
Kalmar County,5924
Kronoberg County,4925
Norrbotten County,7018
Skåne County,37559
Stockholm County,68790
Södermanland County,7687
Unknown,≤100
Uppsala County,11174
Värmland County,7419
Västerbotten County,7346
Västernorrland County,6027
Västmanland County,7120
Västra Götaland County,45989
Örebro County,8215
Östergötland County,14136
