Location name,Amount spent (NZD)
Auckland Region,7887
Bay of Plenty Region,1351
Canterbury,2745
Cook Islands,≤100
Gisborne District,284
Hawke's Bay,1273
Manawatu-Wanganui,1114
Marlborough Region,184
Nelson Province,306
Northland Region,1035
Otago,898
Southland,346
Taranaki,564
Tasman District,170
Unknown,≤100
Waikato,2244
Wellington Region,1997
West Coast,123
