Location name,Amount spent (THB)
Amnat Charoen,172
Ang Thong,314
Ayutthaya,1888
Bangkok,44327
Bueng Kan,174
Buriram,653
Chachoengsao,1609
Chai Nat,2117
Chaiyaphum,747
Chanthaburi,379
Chiang Mai,2615
Chiang Rai,957
Chon Buri,10313
Chumphon,606
Kalasin,423
Kamphaeng Phet,593
Kanchanaburi,1121
Khon Kaen,1313
Krabi,554
Lampang,491
Lamphun,266
Loei,346
Lop Buri,446
Mae Hong Son,130
Maha Sarakham,518
Mukdahan,180
Nakhon Nayok,158
Nakhon Pathom,1913
Nakhon Phanom,958
Nakhon Ratchasima,1630
Nakhon Sawan,2187
Nakhon Si Thammarat,2675
Nan,234
Narathiwat,487
Nong Bua Lam Phu,330
Nong Khai,276
Nonthaburi,2161
Pathum Thani,2143
Pattani,600
Phangnga,301
Phatthalung,1103
Phayao,423
Phetchabun,485
Phetchaburi,708
Phichit,587
Phitsanulok,3098
Phrae,235
Phuket,3964
Prachin Buri,374
Prachuap Khiri Khan,896
Ranong,172
Ratchaburi,1226
Rayong,946
Roi Et,508
Sa Kaeo,390
Sakon Nakhon,567
Samut Prakan,5275
Samut Sakhon,1028
Samut Songkhram,540
Saraburi,511
Satun,354
Sing Buri,310
Sisaket,633
Songkhla,4597
Sukhothai,490
Suphan Buri,1379
Surat Thani,17495
Surin,591
Tak,278
Trang,1314
Trat,144
Ubon Ratchathani,1028
Udon Thani,757
Unknown,≤100
Uthai Thani,228
Uttaradit,257
Yala Province,512
Yasothon,254
