Location name,Amount spent (EUR)
Alsace,597
Aquitaine,1221
Auvergne,390
Basse-Normandie,475
Bourgogne,530
Bretagne,1152
Centre,753
Champagne-Ardenne,437
Corse,145
Franche-Comté,332
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,645
Languedoc-Roussillon,1114
Limousin,213
Lorraine,770
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,987
New Caledonia,≤100
Nord-Pas-de-Calais,1416
Pays de la Loire,1184
Picardie,657
Poitou-Charentes,606
Provence-Alpes-Côte d'Azur,2246
Reunion Island,≤100
Rhône-Alpes,2054
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4434
