Location name,Amount spent (IDR)
Aceh,1603175
Bali,2815057
Bangka–Belitung Islands,815409
Banten,3902616
Bengkulu,1498828
Central Java,14402228
Central Kalimantan,1673996
Central Sulawesi,1899525
East Java,18244599
East Kalimantan,3111693
East Nusa Tenggara,2922871
Gorontalo,1329891
Jakarta,5673925
Jambi,1946181
Lampung,3533917
Maluku,1144944
North Kalimantan,552122
North Maluku,946519
North Sulawesi,2890057
North Sumatra,6848071
Papua (province),1625870
Riau,4291916
Riau Islands Province,1867171
South Kalimantan,1717856
South Sulawesi,4605638
South Sumatra,3876769
Southeast Sulawesi,1743669
Special Region of Yogyakarta,1517289
Unknown,158
West Java,18717453
West Kalimantan,2980160
West Nusa Tenggara,3924436
West Papua,820288
West Sulawesi,1013089
West Sumatra,2279948
