Location name,Amount spent (DKK)
Capital Region of Denmark,64336
Central Denmark Region,40650
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,16515
Region of Southern Denmark,33819
Unknown,≤100
Zealand Region,24526
