Location name,Amount spent (AUD)
Australian Capital Territory,1195
Jervis Bay Territory,≤100
New South Wales,84574
Norfolk Island,≤100
Northern Territory,647
Queensland,9360
South Australia,3910
Tasmania,1531
Unknown,≤100
Victoria,14850
Western Australia,5980
