Location name,Amount spent (HUF)
Baranya County,200381
Borsod-Abaúj-Zemplén County,306764
Budapest,1315235
Bács-Kiskun County,271106
Békés County,169863
Csongrád County,257353
Fejér County,247230
Győr-Moson-Sopron County,268782
Hajdú-Bihar County,259835
Heves County,160000
Jász-Nagykun-Szolnok County,188788
Komárom-Esztergom County,173463
Nógrád County,97627
Pest County,833467
Somogy County,157958
Szabolcs-Szatmár-Bereg County,246690
Tolna County,123032
Unknown,291
Vas County,167408
Veszprém County,182580
Zala County,153497
