Location name,Amount spent (MYR)
Johor,1003
Kedah,575
Kelantan,344
Kuala Lumpur,1524
Labuan,≤100
Malacca,317
Negeri Sembilan,444
Pahang,505
Penang,365
Perak,685
Perlis,≤100
Putrajaya,≤100
Sabah,798
Sarawak,872
Selangor,2705
Terengganu,384
Unknown,≤100
