Location name,Amount spent (COP)
Amazonas,5573
Antioquia,8957700
Arauca,39194
Atlantico,737864
Bolivar,326616
Boyaca,394500
Caldas,369827
Caqueta,150440
Casanare,111227
Cauca,202497
Cesar,314480
Choco,24433
Cordoba,393213
Cundinamarca,885668
Distrito Especial,1930048
Guainia,1218
Guaviare,46553
Huila,895738
La Guajira,36602
Magdalena,472017
Meta,969583
Narino,115650
Norte de Santander,779509
Putumayo,76435
Quindio,164772
Risaralda,694009
San Andres y Providencia,8437
Santander,1015712
Sucre,759900
Tolima,237310
Unknown,≤100
Valle del Cauca,4301159
Vaupes,214
Vichada,1459
