Location name,Amount spent (EGP)
Al Sharqia Governorate,2486
Alexandria Governorate,2651
Aswan Governorate,443
Asyut Governorate,1055
Beheira Governorate,1514
Beni Suef Governorate,643
Cairo Governorate,6108
Dakahlia Governorate,2939
Damietta Governorate,997
Faiyum Governorate,616
Gharbia Governorate,2124
Giza Governorate,2027
Ismailia Governorate,528
Kafr el-Sheikh Governorate,1070
Luxor Governorate,316
Matrouh Governorate,133
Minya Governorate,1169
Monufia Governorate,1415
New Valley Governorate,121
North Sinai Governorate,237
Port Said Governorate,436
Qalyubia Governorate,1762
Qena Governorate,720
Red Sea Governorate,267
Sohag Governorate,1121
South Sinai Governorate,108
Suez Governorate,349
Unknown,≤100
