Location name,Amount spent (CLP)
Antofagasta Region,149760
Araucanía Region,377296
Arica y Parinacota Region,125982
Atacama Region,65196
Aysén Region,32369
Bío Bío Region,854676
Coquimbo Region,767560
Los Lagos Region,211064
Los Ríos Region,153366
Magallanes y la Antártica Chilena Region,152122
Maule Region,386100
O'Higgins Region,427131
Santiago Metropolitan Region,2374708
Tarapacá Region,127013
Unknown,≤100
Valparaíso Region,971933
