Location name,Amount spent (SEK)
Blekinge County,4543
Dalarna County,9030
Gotland County,2239
Gävleborg County,9536
Halland County,9177
Jämtland County,4570
Jönköping County,11492
Kalmar County,7086
Kronoberg County,5532
Norrbotten County,9499
Skåne County,40961
Stockholm County,81850
Södermanland County,9213
Unknown,≤100
Uppsala County,12714
Värmland County,8182
Västerbotten County,8930
Västernorrland County,8336
Västmanland County,8272
Västra Götaland County,53461
Örebro County,9479
Östergötland County,14334
