Location name,Amount spent (RON)
Alba County,551
Arad County,801
Argeș County,843
Bacău County,717
Bihor County,981
Bistrița-Năsăud County,439
Botoșani County,441
Brașov County,1823
Brăila County,423
Bucharest,5298
Buzău County,721
Caraș-Severin County,345
Cluj County,2144
Constanța County,1398
Covasna County,311
Călărași County,360
Dolj County,870
Dâmbovița County,713
Galați County,759
Giurgiu County,313
Gorj County,518
Harghita County,487
Hunedoara County,583
Ialomița County,242
Iași County,1767
Ilfov County,619
Maramureș County,730
Mehedinți County,343
Mureș County,852
Neamț County,614
Olt County,393
Prahova County,1377
Satu Mare County,486
Sibiu County,910
Suceava County,753
Sălaj County,303
Teleorman County,280
Timiș County,1125
Tulcea County,336
Unknown,≤100
Vaslui County,382
Vrancea County,688
Vâlcea County,498
