Location name,Amount spent (USD)
Banteay Meanchey Province,≤100
Battambang Province,≤100
Kampong Cham Province,≤100
Kampong Chhnang Province,≤100
Kampong Speu Province,≤100
Kampong Thom Province,≤100
Kampot Province,≤100
Kandal Province,≤100
Kep Province,≤100
Koh Kong Province,≤100
Kratié Province,≤100
Mondulkiri Province,≤100
Oddar Meanchey Province,≤100
Pailin,≤100
Phnom Penh,369
Preah Vihear Province,≤100
Prey Veng Province,≤100
Pursat Province,≤100
Ratanakiri Province,≤100
Siem Reap Province,≤100
Sihanoukville Province,≤100
Stung Treng Province,≤100
Svay Rieng Province,≤100
Takéo Province,≤100
Tbong Khmum Province,≤100
Unknown,≤100
