Location name,Amount spent (MYR)
Johor,2296
Kedah,1974
Kelantan,1328
Kuala Lumpur,12546
Labuan,≤100
Malacca,570
Negeri Sembilan,3680
Pahang,402
Penang,1895
Perak,1821
Perlis,101
Putrajaya,190
Sabah,338
Sarawak,368
Selangor,31822
Terengganu,1093
Unknown,≤100
