Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,11
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
229584730414018,VenSai Enterprises Inc.,These ads ran without a disclaimer,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
103762709241841,thetrauma.therapist,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,3
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,3
