Location name,Amount spent (INR)
Andaman and Nicobar Islands,1265
Andhra Pradesh,51554
Arunachal Pradesh,4568
Assam,19709
Bihar,46586
Chandigarh,2350
Chhattisgarh,26503
Dadra and Nagar Haveli,1461
Delhi,60841
Goa,11190
Gujarat,67478
Haryana,42369
Himachal Pradesh,13320
Jammu and Kashmir,15486
Jharkhand,16819
Karnataka,294319
Kerala,11841
Lakshadweep,≤100
Madhya Pradesh,84597
Maharashtra,185296
Manipur,1840
Meghalaya,1588
Mizoram,524
Nagaland,2165
Odisha,17592
Puducherry,1268
Punjab region,13266
Rajasthan,126444
Sikkim,911
Tamil Nadu,40148
Telangana,58943
Tripura,3214
Unknown,121
Uttar Pradesh,105567
Uttarakhand,12674
West Bengal,61625
