Location name,Amount spent (GTQ)
Alta Verapaz Department,168
Baja Verapaz Department,≤100
Chimaltenango Department,169
Chiquimula Department,202
El Progreso Department,109
Escuintla Department,258
Guatemala Department,6131
Huehuetenango Department,197
Izabal Department,163
Jalapa Department,≤100
Jutiapa Department,134
Petén Department,≤100
Quetzaltenango Department,352
Quiché Department,131
Retalhuleu Department,112
Sacatepéquez Department,282
San Marcos Department,720
Santa Rosa Department,121
Sololá Department,258
Suchitepéquez Department,642
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,124
