Location name,Amount spent (TWD)
Changhua,9788
Chiayi,1890
Hsinchu,3660
Hsinchu City,6501
Hualien,3051
Kaohsiung,34033
Keelung City,4006
Kinmen,551
Lienchiang,≤100
Miaoli,4408
Nantou,3160
New Taipei City,51025
Penghu,678
Pingtung,5391
Taichung,38003
Tainan,18342
Taipei,44868
Taitung,1888
Taoyuan City,29287
Unknown,3740
Yilan,3073
Yunlin,4549
