Location name,Amount spent (HUF)
Baranya County,124996
Borsod-Abaúj-Zemplén County,168368
Budapest,649414
Bács-Kiskun County,135533
Békés County,96282
Csongrád County,141695
Fejér County,137853
Győr-Moson-Sopron County,134310
Hajdú-Bihar County,123140
Heves County,104031
Jász-Nagykun-Szolnok County,102314
Komárom-Esztergom County,94877
Nógrád County,52630
Pest County,357214
Somogy County,83038
Szabolcs-Szatmár-Bereg County,123311
Tolna County,65980
Unknown,≤100
Vas County,89579
Veszprém County,93303
Zala County,92066
