Location name,Amount spent (PLN)
Greater Poland Voivodeship,5177
Kuyavian-Pomeranian Voivodeship,2802
Lesser Poland Voivodeship,4777
Lower Silesian Voivodeship,3883
Lublin Voivodeship,2525
Lubusz Voivodeship,1364
Masovian Voivodeship,9064
Opole Voivodeship,952
Podkarpackie Voivodeship,2181
Podlaskie Voivodeship,1169
Pomeranian Voivodeship,3904
Silesian Voivodeship,5431
Unknown,≤100
Warmian-Masurian Voivodeship,1447
West Pomeranian Voivodeship,2450
Łódź Voivodeship,3450
Świętokrzyskie Voivodeship,1227
