Location name,Amount spent (IDR)
Aceh,340501
Bali,910281
Bangka–Belitung Islands,503046
Banten,2246066
Bengkulu,425189
Central Java,3596620
Central Kalimantan,380740
Central Sulawesi,655129
East Java,4971248
East Kalimantan,1888224
East Nusa Tenggara,2086040
Gorontalo,328129
Jakarta,10084070
Jambi,702784
Lampung,874523
Maluku,538258
North Kalimantan,136458
North Maluku,357856
North Sulawesi,1137391
North Sumatra,1722177
Papua (province),573620
Riau,1151387
Riau Islands Province,598003
South Kalimantan,333279
South Sulawesi,1496749
South Sumatra,1434133
Southeast Sulawesi,447470
Special Region of Yogyakarta,355068
Unknown,400
West Java,9700033
West Kalimantan,1035757
West Nusa Tenggara,1023503
West Papua,277905
West Sulawesi,211901
West Sumatra,702673
