Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
248172631940,Mandiner,Mediaworks Hungary Zrt.,163876,25
109528965046103,MCC Feszt,Mathias Corvinus Collegium,160807,11
543788999005363,ORIGO,Mediaworks Hungary Zrt.,144387,19
178362315106,European Parliament,European Parliament,119426,12
191461774219575,hirado.hu,hirado.hu,116428,31
451844608304228,Metropol,Metropol,85736,12
1534911313439123,Ripost,Ripost,85088,9
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,76874,12
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,72518,9
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,69403,9
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,49981,58
264517713636590,PestiSracok.hu,PestiSrácok.hu,42253,5
193702058028595,Lázár János,Lázár János hivatalos oldala,34024,2
286759004682537,Tranzit,Kommentár Alapítvány,31489,1
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,30244,1
537817739693723,Brain Bar,Brain Bar,27057,7
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,23274,5
1265353903615539,Oeconomus,Oeconomus,19074,24
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,19061,2
304448239602944,Minden Doboz Visszajár,Minden Doboz Visszajár,18462,7
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,17867,4
265672590604606,Makronóm.Blog,Makronóm.Blog,17380,11
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,15275,38
123910440019,Renew Europe,Renew Europe Group,15133,2
100467642324899,Realista,Az Év Irodája,15053,9
162344823835042,atlatszo.hu,atlatszo.hu,14371,7
108346693873484,Győrffy Balázs,Győrffy Balázs,13526,3
851784814892644,Simicskó István,KDNP frakció,12778,4
131283758531,HVG,HVG Kiadó ZRt.,11825,10
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,11728,7
76748198685,Budapest Pride,Budapest Pride,11472,4
447204268797621,RTL.hu,RTL.HU,11064,47
113043410066839,Momentum Zala,Momentum Mozgalom,10736,2
108248022589754,Bosch Magyarország,Bosch Magyarország,10649,9
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,10398,3
